player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,useful_total_p1,useful_total_p2,useful_eff_p1,useful_eff_p2,useful_count_p1,useful_count_p2,wasted_p1,wasted_p2,high_week_rate_p1,high_week_rate_p2,top5_pct_p1,top5_pct_p2,weekly_cv_p1,weekly_cv_p2,tear2_count_p1,tear2_count_p2,tear3_count_p1,tear3_count_p2,boom_count_p1,boom_count_p2,high_week_count_p1,high_week_count_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
683766,Christian Koss,27,33,21.8,49.42,7.41,9.09,3.7,0.0,0.0,0.0,0.0,0.0,3,2,11.11111111111111,15.151515151515152,41.0,66.0,39.0,57.0,0.6804976794585844,0.9636708280717116,Low-Vol,Low-Vol,12.851851851851851,25.21212121212121,10.61458975512081,15.727677784239113,0.0,11.11111111111111,0.0,66.0,0.0,66.0,0.0,7.9326923076923075,0,1,100.0,143.0,7.4074074074074066,9.090909090909092,44.09221902017291,29.927884615384613,0.8259190875742418,0.6238141428844841,2,3,1,0,3,5,2,3,27.62,Low (0-5),No Tears,High (10-15%)
673548,Seiya Suzuki,73,78,60.14,55.39,5.48,5.13,2.74,1.28,1.37,1.28,0.0,0.0,4,4,10.95890410958904,10.256410256410255,113.0,98.0,110.33333333333333,90.0,1.8133509119158826,1.2635205708957067,Gamma,Normal,53.24657534246575,39.65384615384615,28.285145700093093,20.62140290431904,21.428571428571427,21.428571428571427,98.33333333333333,81.33333333333333,295.0,244.0,7.5894005659891945,7.888781118655028,3,3,386.0,319.0,65.75342465753424,41.02564102564102,13.943915616156419,14.225670869705787,0.5312106087231273,0.5200353787704123,4,4,2,1,8,8,48,32,-4.75,Low (0-5),Low (0-5),High (10-15%)
677649,Ezequiel Duran,23,53,17.82,20.38,13.04,5.66,0.0,1.89,0.0,0.0,0.0,0.0,2,3,13.043478260869565,11.320754716981133,23.0,40.0,20.666666666666668,40.0,0.5099229757547094,0.7659027308179841,Low-Vol,Low-Vol,8.08695652173913,18.9811320754717,7.953918665311291,12.499985486203474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,54.0,222.0,0.0,7.547169811320755,52.1505376344086,19.681908548707753,0.9835490822696757,0.6585479431101234,3,3,0,1,3,6,0,4,2.5599999999999987,No Tears,Low (0-5),High (10-15%)
624413,Pete Alonso,78,84,67.33,63.38,5.13,4.76,2.56,2.38,0.0,2.38,0.0,0.0,3,4,10.256410256410255,13.095238095238097,134.0,99.0,133.33333333333334,98.0,1.9562616148511427,1.6235597985256347,Gamma,Gamma,59.61538461538461,48.79761904761905,30.514306105872326,26.497456009693778,53.84615384615385,35.714285714285715,77.71428571428571,74.0,544.0,370.0,11.698924731182796,9.026591851671139,7,5,194.0,344.0,67.94871794871796,60.71428571428571,13.806451612903226,11.710173212978775,0.5118528766146325,0.5430071492593992,4,4,2,2,8,11,53,51,-3.9499999999999957,Low (0-5),Low (0-5),High (10-15%)
696100,Hunter Goodman,73,70,60.35,48.33,6.85,4.29,1.37,1.43,0.0,1.43,0.0,0.0,3,4,12.32876712328767,10.0,104.0,85.0,92.33333333333333,82.0,1.4438998424450566,0.9460474018750179,High-IV,Low-Vol,49.342465753424655,41.84285714285714,22.522346420390146,15.440053047034459,38.46153846153847,7.142857142857142,68.0,85.0,340.0,85.0,9.439200444197668,2.9020143393649707,5,1,258.0,468.0,68.4931506849315,51.42857142857142,12.354247640199889,13.041993854557871,0.456449552661988,0.36900092635452786,5,3,1,1,9,7,50,36,-12.020000000000003,Low (0-5),Low (0-5),High (10-15%)
669477,Casey Schmitt,31,63,30.0,22.11,9.68,1.59,0.0,1.59,0.0,0.0,0.0,0.0,2,3,12.903225806451612,11.11111111111111,78.0,59.0,74.0,59.0,1.561647607095761,0.9015082204201105,High-IV,Low-Vol,25.806451612903224,28.555555555555557,24.359008401874256,14.71314726728991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,190.0,360.0,29.03225806451613,20.634920634920633,41.875,15.786548082267926,0.9439115755726275,0.515246402356456,3,1,0,1,4,7,9,13,-7.890000000000001,No Tears,Low (0-5),High (10-15%)
624424,Michael Conforto,68,69,22.15,23.84,5.88,5.8,2.94,1.45,1.47,0.0,0.0,0.0,4,3,10.294117647058822,14.492753623188406,59.0,49.0,55.666666666666664,47.666666666666664,0.8859173359699443,0.7822701807289505,Low-Vol,Low-Vol,25.235294117647058,25.36231884057971,13.818781991662624,12.767111947699096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,318.0,370.0,20.588235294117645,23.18840579710145,15.792540792540793,13.37142857142857,0.5475974215810364,0.5033889853664215,4,4,2,1,7,10,14,16,1.6900000000000013,Low (0-5),Low (0-5),High (10-15%)
624428,Adam Frazier,68,66,21.18,20.76,2.94,3.03,1.47,0.0,0.0,0.0,0.0,0.0,3,2,11.76470588235294,12.121212121212121,54.0,56.0,52.666666666666664,50.0,0.7584747853165378,0.7979897754929423,Low-Vol,Low-Vol,26.0,27.87878787878788,11.830898074691174,13.02366503008469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,345.0,354.0,14.705882352941178,18.181818181818183,14.536199095022626,13.260869565217392,0.4550345413342759,0.46715320216608125,2,2,1,0,8,8,10,12,-0.41999999999999815,Low (0-5),No Tears,High (10-15%)
624431,Jose Trevino,45,44,20.36,18.09,2.22,6.82,0.0,4.55,0.0,0.0,0.0,0.0,2,3,11.11111111111111,11.363636363636363,53.0,27.0,49.333333333333336,26.0,0.824813127443022,0.4388554028751974,Low-Vol,Low-Vol,24.555555555555557,10.340909090909092,12.865661760098178,7.16237969359795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,281.0,122.0,15.555555555555555,0.0,21.447963800904976,26.593406593406595,0.5239409766555818,0.6926257286116698,1,3,0,2,5,5,7,0,-2.2699999999999996,No Tears,Low (0-5),High (10-15%)
608070,José Ramírez,74,84,67.5,71.74,4.05,8.33,2.7,1.19,0.0,0.0,0.0,0.0,3,3,12.162162162162163,13.095238095238097,102.0,146.0,98.66666666666667,144.66666666666666,1.5778416309219985,1.9556804284120832,High-IV,Gamma,57.45945945945946,61.595238095238095,24.611607234447682,31.917861090134682,46.15384615384615,57.14285714285714,79.66666666666667,83.25,478.0,666.0,11.241768579492003,12.872052570545033,6,8,242.0,185.0,74.32432432432432,77.38095238095238,11.359360301034807,12.717433320448396,0.42832994716583456,0.5181871533767517,3,7,2,1,9,11,55,65,4.239999999999995,Low (0-5),Low (0-5),High (10-15%)
